payment_id,loan_id,payment_date,payment_amount,days_past_due,remaining_balance
305,1042,2023-02-11,665,0,7635
306,1042,2023-03-13,1059,15,6576
307,1042,2023-04-12,1363,0,5213
308,1042,2023-05-12,554,0,4659
309,1042,2023-06-11,1009,0,3650
310,1042,2023-07-11,310,0,3340
311,1042,2023-08-10,1256,0,2084
312,1042,2023-09-09,795,0,1289
313,1042,2023-10-09,1289,60,0
314,1043,2022-05-21,760,0,38627
315,1043,2022-06-20,1467,0,37160
316,1043,2022-07-20,554,0,36606
317,1043,2022-08-19,635,0,35971
318,1043,2022-09-18,1173,0,34798
319,1043,2022-10-18,656,0,34142
320,1043,2022-11-17,652,0,33490
321,1043,2022-12-17,823,0,32667
322,1043,2023-01-16,1055,0,31612
323,1043,2023-02-15,398,0,31214
324,1044,2022-12-31,914,15,12598
325,1044,2023-01-30,667,0,11931
326,1044,2023-03-01,1398,15,10533
327,1044,2023-03-31,1135,0,9398
328,1045,2023-03-24,1428,0,4914
329,1045,2023-04-23,1067,60,3847
330,1045,2023-05-23,676,0,3171
331,1045,2023-06-22,698,0,2473
332,1045,2023-07-22,481,0,1992
333,1045,2023-08-21,1313,60,679
334,1045,2023-09-20,679,0,0
335,1046,2021-08-08,514,0,47822
336,1046,2021-09-07,400,0,47422
337,1046,2021-10-07,872,5,46550
338,1046,2021-11-06,1238,15,45312
339,1046,2021-12-06,1386,0,43926
340,1046,2022-01-05,525,0,43401
341,1046,2022-02-04,1071,0,42330
342,1046,2022-03-06,728,0,41602
343,1046,2022-04-05,1351,0,40251
344,1046,2022-05-05,887,0,39364
345,1046,2022-06-04,1165,0,38199
346,1047,2022-12-18,1163,0,23053
347,1047,2023-01-17,667,30,22386
348,1047,2023-02-16,1155,0,21231
349,1047,2023-03-18,1493,0,19738
350,1047,2023-04-17,1413,0,18325
351,1047,2023-05-17,593,0,17732
352,1047,2023-06-16,1455,0,16277
353,1047,2023-07-16,1268,0,15009
354,1047,2023-08-15,514,0,14495
355,1048,2022-08-16,546,0,31988
356,1048,2022-09-15,1226,0,30762
357,1048,2022-10-15,859,0,29903
358,1048,2022-11-14,988,0,28915
359,1048,2022-12-14,1403,0,27512
360,1048,2023-01-13,1210,0,26302
361,1048,2023-02-12,1259,0,25043
362,1048,2023-03-14,1225,30,23818
363,1048,2023-04-13,1153,5,22665
364,1048,2023-05-13,1053,0,21612
365,1049,2023-06-25,887,0,18344
366,1049,2023-07-25,1007,5,17337
367,1049,2023-08-24,1407,0,15930
368,1050,2022-08-20,1216,0,36077
369,1050,2022-09-19,1309,0,34768
370,1050,2022-10-19,702,0,34066
371,1050,2022-11-18,505,0,33561
372,1050,2022-12-18,1167,0,32394
373,1050,2023-01-17,318,0,32076
374,1050,2023-02-16,1330,0,30746
375,1051,2021-10-01,879,0,30735
376,1051,2021-10-31,624,0,30111
377,1051,2021-11-30,1291,0,28820
378,1051,2021-12-30,530,5,28290
379,1051,2022-01-29,693,0,27597
380,1051,2022-02-28,1451,0,26146
381,1051,2022-03-30,691,0,25455
382,1052,2023-05-12,1401,0,39857
383,1052,2023-06-11,348,0,39509
384,1052,2023-07-11,368,0,39141
385,1053,2022-06-19,1494,0,31759
386,1053,2022-07-19,1315,5,30444
387,1053,2022-08-18,520,0,29924
388,1053,2022-09-17,394,5,29530
389,1053,2022-10-17,1196,0,28334
390,1053,2022-11-16,518,0,27816
391,1054,2021-06-10,1282,0,45796
392,1054,2021-07-10,785,0,45011
393,1054,2021-08-09,455,0,44556
394,1054,2021-09-08,1380,0,43176
395,1054,2021-10-08,536,0,42640
396,1054,2021-11-07,576,0,42064
397,1054,2021-12-07,851,0,41213
398,1054,2022-01-06,938,0,40275
399,1054,2022-02-05,354,0,39921
400,1054,2022-03-07,983,0,38938
401,1055,2022-05-30,672,0,45080
402,1055,2022-06-29,500,0,44580
403,1055,2022-07-29,574,15,44006
404,1055,2022-08-28,1441,0,42565
405,1055,2022-09-27,341,15,42224
406,1055,2022-10-27,628,0,41596
407,1055,2022-11-26,1242,0,40354
408,1056,2023-04-29,1342,0,21646
409,1056,2023-05-29,722,5,20924
410,1056,2023-06-28,1057,0,19867
411,1056,2023-07-28,1404,5,18463
412,1056,2023-08-27,723,0,17740
413,1056,2023-09-26,503,0,17237
414,1057,2022-11-08,495,0,35542
415,1057,2022-12-08,313,0,35229
416,1057,2023-01-07,1380,0,33849
417,1057,2023-02-06,828,5,33021
418,1057,2023-03-08,508,5,32513
419,1057,2023-04-07,551,0,31962
420,1057,2023-05-07,1219,0,30743
421,1057,2023-06-06,718,0,30025
422,1057,2023-07-06,1399,0,28626
423,1057,2023-08-05,1024,0,27602
424,1057,2023-09-04,940,0,26662
425,1058,2021-02-20,1191,0,16028
426,1058,2021-03-22,1350,0,14678
427,1058,2021-04-21,978,5,13700
428,1058,2021-05-21,1405,5,12295
429,1058,2021-06-20,1121,15,11174
430,1058,2021-07-20,1485,0,9689
431,1058,2021-08-19,1361,0,8328
432,1058,2021-09-18,692,5,7636
433,1058,2021-10-18,793,0,6843
434,1059,2023-05-21,846,0,4389
435,1059,2023-06-20,457,5,3932
436,1059,2023-07-20,1259,0,2673
437,1059,2023-08-19,493,0,2180
438,1059,2023-09-18,1473,0,707
439,1060,2021-07-16,1192,0,46737
440,1060,2021-08-15,367,0,46370
441,1060,2021-09-14,516,0,45854
442,1060,2021-10-14,439,15,45415
443,1060,2021-11-13,477,0,44938
444,1060,2021-12-13,679,30,44259
445,1061,2021-10-31,749,0,6159
446,1061,2021-11-30,1289,0,4870
447,1061,2021-12-30,316,0,4554
448,1061,2022-01-29,617,0,3937
449,1062,2022-02-22,802,0,12765
450,1062,2022-03-24,1009,0,11756
451,1062,2022-04-23,344,0,11412
452,1062,2022-05-23,717,0,10695
453,1062,2022-06-22,1401,0,9294
454,1063,2022-09-23,814,0,40484
455,1063,2022-10-23,373,0,40111
456,1063,2022-11-22,808,0,39303
457,1063,2022-12-22,987,0,38316
458,1063,2023-01-21,1327,0,36989
459,1063,2023-02-20,899,0,36090
460,1063,2023-03-22,624,0,35466
461,1064,2021-12-12,1016,0,9240
462,1064,2022-01-11,835,5,8405
463,1064,2022-02-10,451,30,7954
464,1064,2022-03-12,558,0,7396
465,1064,2022-04-11,1168,0,6228
466,1064,2022-05-11,609,0,5619
467,1064,2022-06-10,1379,0,4240
468,1064,2022-07-10,760,5,3480
469,1064,2022-08-09,1145,0,2335
470,1064,2022-09-08,561,0,1774
471,1064,2022-10-08,654,0,1120
472,1065,2021-02-13,479,0,23540
473,1065,2021-03-15,470,5,23070
474,1065,2021-04-14,833,0,22237
475,1065,2021-05-14,738,5,21499
476,1066,2021-09-29,695,0,12467
477,1066,2021-10-29,383,5,12084
478,1066,2021-11-28,1336,0,10748
479,1066,2021-12-28,992,0,9756
480,1066,2022-01-27,1443,0,8313
481,1066,2022-02-26,1380,0,6933
482,1066,2022-03-28,939,0,5994
483,1066,2022-04-27,558,0,5436
484,1066,2022-05-27,1029,0,4407
485,1066,2022-06-26,1138,0,3269
486,1066,2022-07-26,1439,0,1830
487,1066,2022-08-25,842,0,988
488,1067,2023-03-18,1389,15,9026
489,1067,2023-04-17,746,0,8280
490,1067,2023-05-17,740,0,7540
491,1067,2023-06-16,763,0,6777
492,1067,2023-07-16,1010,0,5767
493,1067,2023-08-15,694,0,5073
494,1067,2023-09-14,1414,0,3659
495,1067,2023-10-14,1489,0,2170
496,1067,2023-11-13,513,0,1657
497,1068,2022-01-11,348,0,40811
498,1068,2022-02-10,432,0,40379
499,1068,2022-03-12,1489,0,38890
500,1069,2022-08-18,778,0,48147
501,1069,2022-09-17,981,0,47166
502,1069,2022-10-17,381,0,46785
503,1069,2022-11-16,315,0,46470
504,1069,2022-12-16,462,0,46008
505,1069,2023-01-15,813,0,45195
506,1069,2023-02-14,980,0,44215
507,1070,2023-07-17,1415,5,9536
508,1070,2023-08-16,959,0,8577
509,1070,2023-09-15,792,0,7785
510,1070,2023-10-15,427,0,7358
511,1070,2023-11-14,864,0,6494
512,1070,2023-12-14,752,15,5742
513,1070,2024-01-13,1037,30,4705
514,1071,2022-01-05,859,0,25993
515,1071,2022-02-04,648,5,25345
516,1071,2022-03-06,1317,0,24028
517,1071,2022-04-05,1071,0,22957
518,1071,2022-05-05,1315,0,21642
519,1071,2022-06-04,671,0,20971
520,1071,2022-07-04,1292,0,19679
521,1071,2022-08-03,1034,0,18645
522,1071,2022-09-02,365,0,18280
523,1071,2022-10-02,1434,0,16846
524,1071,2022-11-01,746,0,16100
525,1071,2022-12-01,970,0,15130
526,1072,2021-05-02,580,0,12427
527,1072,2021-06-01,895,0,11532
528,1072,2021-07-01,1374,0,10158
529,1073,2022-02-01,880,5,45952
530,1073,2022-03-03,529,15,45423
531,1073,2022-04-02,309,0,45114
532,1073,2022-05-02,975,0,44139
533,1073,2022-06-01,348,0,43791
534,1073,2022-07-01,1307,0,42484
535,1073,2022-07-31,1269,0,41215
536,1073,2022-08-30,517,0,40698
537,1073,2022-09-29,1304,0,39394
538,1073,2022-10-29,554,0,38840
539,1073,2022-11-28,570,0,38270
540,1073,2022-12-28,558,5,37712
541,1074,2022-04-30,507,0,35016
542,1074,2022-05-30,448,5,34568
543,1074,2022-06-29,454,0,34114
544,1074,2022-07-29,657,0,33457
545,1074,2022-08-28,755,0,32702
546,1074,2022-09-27,928,0,31774
547,1074,2022-10-27,785,0,30989
548,1074,2022-11-26,670,0,30319
549,1074,2022-12-26,1152,0,29167
550,1074,2023-01-25,1087,0,28080
551,1075,2022-04-03,904,0,27421
552,1075,2022-05-03,801,0,26620
553,1075,2022-06-02,1407,0,25213
554,1075,2022-07-02,848,0,24365
555,1076,2022-06-23,1416,0,24788
556,1076,2022-07-23,711,0,24077
557,1076,2022-08-22,458,0,23619
558,1076,2022-09-21,524,0,23095
559,1076,2022-10-21,810,60,22285
560,1076,2022-11-20,1287,0,20998
561,1076,2022-12-20,1026,0,19972
562,1076,2023-01-19,853,0,19119
563,1076,2023-02-18,975,0,18144
564,1077,2023-03-17,1133,0,19391
565,1077,2023-04-16,1222,30,18169
566,1077,2023-05-16,1141,0,17028
567,1077,2023-06-15,964,0,16064
568,1077,2023-07-15,366,0,15698
569,1077,2023-08-14,613,0,15085
570,1077,2023-09-13,1125,0,13960
571,1077,2023-10-13,1325,0,12635
572,1077,2023-11-12,1104,0,11531
573,1077,2023-12-12,835,0,10696
574,1077,2024-01-11,876,0,9820
575,1077,2024-02-10,1062,30,8758
576,1078,2021-03-06,1048,0,23234
577,1078,2021-04-05,794,0,22440
578,1078,2021-05-05,1122,0,21318
579,1078,2021-06-04,1281,0,20037
580,1078,2021-07-04,1144,0,18893
581,1078,2021-08-03,810,15,18083
582,1079,2021-08-24,839,0,28091
583,1079,2021-09-23,315,0,27776
584,1079,2021-10-23,542,0,27234
585,1079,2021-11-22,1211,0,26023
586,1079,2021-12-22,1004,0,25019
587,1079,2022-01-21,414,15,24605
588,1079,2022-02-20,696,60,23909
589,1079,2022-03-22,1277,60,22632
590,1079,2022-04-21,596,0,22036
591,1079,2022-05-21,1266,0,20770
592,1080,2021-04-21,306,5,4771
593,1080,2021-05-21,460,0,4311
594,1080,2021-06-20,1325,15,2986
595,1080,2021-07-20,754,0,2232
596,1080,2021-08-19,575,0,1657
597,1081,2022-08-15,1351,0,43994
598,1081,2022-09-14,355,0,43639
599,1081,2022-10-14,335,0,43304
600,1081,2022-11-13,894,0,42410
601,1081,2022-12-13,606,0,41804
602,1081,2023-01-12,918,0,40886
603,1082,2023-06-21,480,0,25131
604,1082,2023-07-21,367,15,24764
605,1082,2023-08-20,480,0,24284
606,1082,2023-09-19,1213,0,23071
607,1082,2023-10-19,1344,0,21727
608,1082,2023-11-18,338,0,21389
609,1082,2023-12-18,901,0,20488
610,1083,2022-02-22,1396,0,20588
611,1083,2022-03-24,860,0,19728
612,1083,2022-04-23,475,0,19253
613,1083,2022-05-23,1382,0,17871
614,1083,2022-06-22,1170,0,16701
615,1084,2021-02-01,1054,0,18006
616,1084,2021-03-03,1446,15,16560
617,1084,2021-04-02,439,0,16121
618,1084,2021-05-02,569,0,15552
619,1084,2021-06-01,805,15,14747
620,1085,2022-02-24,1494,0,20955
621,1085,2022-03-26,1112,0,19843
622,1085,2022-04-25,1228,0,18615
623,1085,2022-05-25,308,0,18307
624,1085,2022-06-24,1352,0,16955
625,1085,2022-07-24,761,0,16194
626,1085,2022-08-23,689,0,15505
627,1085,2022-09-22,456,0,15049
628,1085,2022-10-22,559,0,14490
629,1085,2022-11-21,1495,5,12995
630,1085,2022-12-21,374,0,12621
631,1085,2023-01-20,925,0,11696
632,1086,2022-08-19,1173,15,22347
633,1086,2022-09-18,554,0,21793
634,1086,2022-10-18,411,60,21382
635,1086,2022-11-17,1297,0,20085
636,1086,2022-12-17,1186,0,18899
637,1086,2023-01-16,1415,0,17484
638,1086,2023-02-15,819,0,16665
639,1086,2023-03-17,535,0,16130
640,1087,2021-05-16,1226,0,47077
641,1087,2021-06-15,533,0,46544
642,1087,2021-07-15,878,0,45666
643,1087,2021-08-14,503,0,45163
644,1087,2021-09-13,773,0,44390
645,1087,2021-10-13,1204,0,43186
646,1087,2021-11-12,361,0,42825
647,1088,2023-03-13,1464,15,13046
648,1088,2023-04-12,974,0,12072
649,1088,2023-05-12,1108,0,10964
650,1088,2023-06-11,330,0,10634
651,1088,2023-07-11,429,0,10205
652,1088,2023-08-10,357,0,9848
653,1089,2023-05-02,1067,60,33220
654,1089,2023-06-01,1485,0,31735
655,1089,2023-07-01,1394,0,30341
656,1089,2023-07-31,1185,0,29156
657,1089,2023-08-30,696,0,28460
658,1089,2023-09-29,612,0,27848
659,1089,2023-10-29,1110,0,26738
660,1089,2023-11-28,1109,0,25629
661,1089,2023-12-28,749,0,24880
662,1089,2024-01-27,1285,0,23595
663,1089,2024-02-26,399,0,23196
664,1089,2024-03-27,855,5,22341
665,1090,2022-05-22,790,0,32383
666,1090,2022-06-21,1191,0,31192
667,1090,2022-07-21,1124,30,30068
668,1090,2022-08-20,1438,5,28630
669,1091,2023-01-03,1072,0,43639
670,1091,2023-02-02,627,0,43012
671,1091,2023-03-04,1222,0,41790
672,1091,2023-04-03,325,0,41465
673,1091,2023-05-03,1406,0,40059
674,1091,2023-06-02,981,0,39078
675,1091,2023-07-02,468,0,38610
676,1091,2023-08-01,528,0,38082
677,1091,2023-08-31,666,60,37416
678,1091,2023-09-30,823,0,36593
679,1091,2023-10-30,405,0,36188
680,1092,2022-03-08,432,0,16522
681,1092,2022-04-07,568,0,15954
682,1092,2022-05-07,1090,0,14864
683,1092,2022-06-06,317,0,14547
684,1092,2022-07-06,1097,15,13450
685,1092,2022-08-05,850,0,12600
686,1092,2022-09-04,1052,0,11548
687,1093,2023-01-30,945,0,11859
688,1093,2023-03-01,977,0,10882
689,1093,2023-03-31,957,0,9925
690,1094,2022-08-09,1287,0,10278
691,1094,2022-09-08,745,0,9533
692,1094,2022-10-08,369,0,9164
693,1094,2022-11-07,1073,0,8091
694,1094,2022-12-07,1422,0,6669
695,1094,2023-01-06,1243,0,5426
696,1094,2023-02-05,1245,15,4181
697,1094,2023-03-07,1024,0,3157
698,1094,2023-04-06,550,0,2607
699,1094,2023-05-06,1375,0,1232
700,1095,2021-07-11,1374,15,9610
701,1095,2021-08-10,1102,0,8508
702,1095,2021-09-09,1322,0,7186
703,1095,2021-10-09,1137,0,6049
704,1096,2021-08-20,622,0,25904
705,1096,2021-09-19,628,0,25276
706,1096,2021-10-19,432,30,24844
707,1097,2021-10-27,905,0,41533
708,1097,2021-11-26,428,0,41105
709,1097,2021-12-26,328,5,40777
710,1097,2022-01-25,632,0,40145
711,1097,2022-02-24,1496,0,38649
712,1097,2022-03-26,1347,0,37302
713,1097,2022-04-25,655,60,36647
714,1097,2022-05-25,1497,0,35150
715,1097,2022-06-24,795,0,34355
716,1097,2022-07-24,1127,0,33228
717,1097,2022-08-23,598,0,32630
718,1098,2023-06-12,363,0,23211
